Index	Entry	Entry.name	Protein.names	Gene.names
382425	A0A0H2ZFV1	RLPA_PSEAB	Endolytic peptidoglycan transglycosylase RlpA (EC 4.2.2.-) (Rare lipoprotein A)	rlpA PA14_12090
445192	A0A0H2ZJC1	SUTA_PSEAB	Transcriptional regulator SutA (Survival under transitions A)	sutA PA14_69770
340590	A6UX64	RECF_PSEA7	DNA replication and repair protein RecF	recF PSPA7_0003
450154	A6UX70	SYGA_PSEA7	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)	glyQ PSPA7_0009
134549	A6UX80	FMT_PSEA7	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	fmt PSPA7_0019
482618	A6UX84	TSAC_PSEA7	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	tsaC rimN PSPA7_0023
169292	A6UX86	HEM6_PSEA7	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	hemF PSPA7_0025
26721	A6UX87	AROE_PSEA7	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroE PSPA7_0026
478620	A6UX98	TRPA_PSEA7	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA PSPA7_0037
206445	A6UXB5	KPTA_PSEA7	Probable RNA 2'-phosphotransferase (EC 2.7.1.-)	kptA PSPA7_0054
85554	A6UXP9	CYOE1_PSEA7	Protoheme IX farnesyltransferase 1 (EC 2.5.1.-) (Heme B farnesyltransferase 1) (Heme O synthase 1)	cyoE1 PSPA7_0188
92072	A6UXQ5	DCTA1_PSEA7	C4-dicarboxylate transport protein 1	dctA1 PSPA7_0194
10509	A6UXT7	ADE_PSEA7	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	PSPA7_0226
228988	A6UY04	MDCB_PSEA7	Probable 2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase) (EC 2.4.2.52)	mdcB PSPA7_0293
229005	A6UY05	MDCC_PSEA7	Malonate decarboxylase acyl carrier protein (Malonate decarboxylase subunit delta)	mdcC PSPA7_0294
12127	A6UY93	AGUA_PSEA7	Agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase)	aguA PSPA7_0383
