1	103945	D5HSX5	blaPER-6	Beta-lactamase
2	103947	Q9Y6L6	LST1 	Solute carrier organic anion transporter family member 1B1
3	103940	Q9NAW4	Cysteine protease falcipain-3	Cysteine protease falcipain-3
4	103949	P49764	Plgf	Placenta growth factor
5	103948	P19022	CDHN 	Cadherin-2
6	11542	P08686	CYP21 	Steroid 21-hydroxylase
7	11540	P13569	ABCC7	Cystic fibrosis transmembrane conductance regulator
8	11541	P19099	CYP11B2	Cytochrome P450 11B2, mitochondrial
9	11546	O00754	LAMAN 	Lysosomal alpha-mannosidase
10	12763	P00441	SOD1	Superoxide dismutase [Cu-Zn]
11	103897	P00727	LAP3	Cytosol aminopeptidase
12	103896	Q96HE7	ERO1L	ERO1-like protein alpha
13	11382	P19367	HK1	Hexokinase-1
14	103894	P11500	Heat shock protein HSP 90	Heat shock protein HSP 90
15	103893	D6NSM8	ampC	Beta-lactamase
16	103892	B2ZTR6	Beta-lactamase	Beta-lactamase
17	103891	P9WKK7	icl	Isocitrate lyase
18	11387	P12259	F5	Coagulation factor V
19	10893	Q13509	TUBB4	Tubulin beta-3 chain
20	10892	P13612	CD49D	Integrin alpha-4
21	103899	P14927	UQBP	Cytochrome b-c1 complex subunit 7
22	101245	P16056	Met	Hepatocyte growth factor receptor
23	103549	P59676	pbpX	Penicillin-binding protein 2X
24	103548	P56704	WNT3A	Protein Wnt-3a
25	100168	Q04206	NFKB3	Transcription factor p65
26	103541	P05193	blaC	Beta-lactamase
27	103544	P0A3M5	pbp2b	Penicillin-binding protein 2B
28	109580	Q99466	INT3	Neurogenic locus notch homolog protein 4
29	101013	Q9Y253	RAD30 	DNA polymerase eta
30	101490	P71716	mbtA	Bifunctional enzyme MbtA: salicyl-AMP ligase (SAL-AMP ligase) + salicyl-S-ArCP synthetase
31	12703	Q15661	TPS1 	Tryptase alpha/beta-1
32	12702	P51580	TPMT	Thiopurine S-methyltransferase
33	12705	P45352	Tyms	Thymidylate synthase
34	12704	P02766	PALB	Transthyretin
35	101497	P80299	Ephx2	Bifunctional epoxide hydrolase 2
36	101499	P80370	DLK	Protein delta homolog 1
37	12708	Q01727	Msh-r	Melanocyte-stimulating hormone receptor
38	102424	P03471	NA	Neuraminidase
39	10967	P49674	CSNK1E	Casein kinase I isoform epsilon
40	101160	P11797	chiB	Chitinase B
41	101163	P12746	luxR	Transcriptional activator protein LuxR
42	10964	P23687	PREP	Prolyl endopeptidase
43	101165	P13516	Scd1	Acyl-CoA desaturase 1
44	10962	Q9XTA2	PREP	Prolyl endopeptidase
45	101167	P38604	ERG7	Lanosterol synthase
46	10960	P35396	Nr1c2 	Peroxisome proliferator-activated receptor delta
47	101168	P38605	CYC	Cycloartenol synthase
48	104280	Q8ZEY1	ipk	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
49	102590	Q5VLE3	rmtA	RmtA
50	104669	O54967	Ack1	Activated CDC42 kinase 1
51	104668	Q93T40	bla2	Beta-lactamase
52	109594	Q62205	Kiaa4197	Sodium channel protein type 9 subunit alpha
53	104667	Q07889	SOS1	Son of sevenless homolog 1
54	104666	P01111	HRAS1	GTPase NRas
55	270	P10826	HAP 	Retinoic acid receptor beta
56	271	P10828	ERBA2 	Thyroid hormone receptor beta
57	272	P11926	ODC1	Ornithine decarboxylase
58	100943	P06855	pseT	Polynucleotide kinase
59	100944	P06881	CALC1	Calcitonin gene-related peptide 1
60	275	P19793	NR2B1	Retinoic acid receptor RXR-alpha
61	276	P27815	DPDE2	cAMP-specific 3',5'-cyclic phosphodiesterase 4A
62	277	P28702	NR2B2	Retinoic acid receptor RXR-beta
63	278	P29275	ADORA2B	Adenosine receptor A2b
64	279	P30939	HTR1EL	5-hydroxytryptamine receptor 1F
65	102840	Q9QVP9	Fak2 	Protein-tyrosine kinase 2-beta
66	102847	Q6T3U4	Npc1l1	Niemann-Pick C1-like protein 1
67	102846	Q02111	Pkcq	Protein kinase C theta type
68	102845	P28776	Ido 	Indoleamine 2,3-dioxygenase 1
69	10614	Q62053	Ptgerep2	Prostaglandin E2 receptor EP2 subtype
70	12019	P09483	Acra4	Neuronal acetylcholine receptor subunit alpha-4
71	101388	P54131	CHRNA7	Neuronal acetylcholine receptor subunit alpha-7
72	104134	Q5NGP7	kdsD	Arabinose 5-phosphate isomerase KdsD
73	12014	P55211	MCH6	Caspase-9
74	12017	Q9ERC0	None	Neuropeptide Y receptor Y2
75	12016	B2RQC6	Cad	CAD protein
76	109736	X5EH84	None	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
77	101380	P22513	Glyceraldehyde-3-phosphate dehydrogenase, glycosomal	Glyceraldehyde-3-phosphate dehydrogenase, glycosomal
78	12013	P55212	MCH2	Caspase-6
79	12012	P19492	Glur3	Glutamate receptor 3
80	10419	A2AGL3	Ryr3	Ryanodine receptor 3
81	101359	Q96PY6	KIAA1901	Serine/threonine-protein kinase Nek1
82	101019	P08922	MCF3 	Proto-oncogene tyrosine-protein kinase ROS
83	101018	P08659	Luciferin 4-monooxygenase	Luciferin 4-monooxygenase
84	100010	Q9Y233	PDE10A	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A
85	101548	P97321	Fap	Prolyl endopeptidase FAP
86	101015	Q9Y496	KIF3	Kinesin-like protein KIF3A
87	101014	Q9Y463	MIRK	Dual specificity tyrosine-phosphorylation-regulated kinase 1B
88	101017	P08487	PLCG1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
89	101016	Q9Y4D2	C11orf11 	Sn1-specific diacylglycerol lipase alpha
90	101543	P94958	ampC	Beta-lactamase
91	101542	P81908	BCHE	Cholinesterase
92	101541	P31641	SLC6A6	Sodium- and chloride-dependent taurine transporter
93	101540	P31482	Pla2g2a	Phospholipase A2, membrane associated
94	17031	P00346	MDH2	Malate dehydrogenase, mitochondrial
95	10709	P21398	MAOA	Amine oxidase [flavin-containing] A
96	17033	P00523	SRC	Proto-oncogene tyrosine-protein kinase Src
97	17034	P00743	F10	Coagulation factor X
98	17035	P00767	Chymotrypsinogen B	Chymotrypsinogen B
99	17036	P00956	ilvS	Isoleucine--tRNA ligase
100	10702	P50579	MNPEP 	Methionine aminopeptidase 2
101	10701	Q01662	MAP1	Methionine aminopeptidase 1
102	10707	P46197	NPR2	Atrial natriuretic peptide receptor 2
103	11269	Q13133	LXRA	Oxysterols receptor LXR-alpha
104	10705	P04746	AMY2A	Pancreatic alpha-amylase
105	105625	O60880	DSHP 	SH2 domain-containing protein 1A
106	108	P28335	HTR1C	5-hydroxytryptamine receptor 2C
107	109	P0A749	murZ	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
108	102932	Q62600	Nos3	Nitric oxide synthase, endothelial
109	109587	Q9H999	PANK3	Pantothenate kinase 3
110	102	P25021	HRH2	Histamine H2 receptor
111	103	P25100	ADRA1A	Alpha-1D adrenergic receptor
112	100	P23975	NAT1 	Sodium-dependent noradrenaline transporter
113	106	P28222	HTR1DB	5-hydroxytryptamine receptor 1B
114	107	P28223	HTR2	5-hydroxytryptamine receptor 2A
115	104	P27338	MAOB	Amine oxidase [flavin-containing] B
116	105	P28221	HTR1DA 	5-hydroxytryptamine receptor 1D
117	102447	P43250	GPRK6	G protein-coupled receptor kinase 6
118	103112	Q8HY88	Kcnk2	Potassium channel subfamily K member 2
119	102445	Q9UKK3	ADPRTL1 	Poly [ADP-ribose] polymerase 4
120	102444	Q95214	ACAT	Acyl-CoA:cholesterol acyltransferase
121	102443	Q9QYJ6	Pde10a	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A
122	102440	C3SWJ7	thyA	Thymidylate synthase
123	103890	O50979	resT	Telomere resolvase ResT
124	12992	O43525	KCNQ3	Potassium voltage-gated channel subfamily KQT member 3
125	102594	P00573	T7 RNA polymerase	T7 RNA polymerase
126	101458	Q9FUJ3	CKX2	Cytokinin dehydrogenase 2
127	12129	Q06518	Nos2	Nitric oxide synthase, inducible
128	12128	P07861	Mme	Neprilysin
129	11615	P50282	Mmp9	Matrix metalloproteinase-9
130	10639	Q04844	ACHRE	Acetylcholine receptor subunit epsilon
131	104215	C3TDZ2	None	3-oxoacyl-[acyl-carrier-protein] synthase 3
132	104575	Q8WUK0	MOSP 	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1
133	10636	Q9UGM1	NACHRA9	Neuronal acetylcholine receptor subunit alpha-9
134	10635	P36544	NACHRA7	Neuronal acetylcholine receptor subunit alpha-7
135	10634	P43143	Acra6	Neuronal acetylcholine receptor subunit alpha-6
136	105712	Q14721	KCNB1	Potassium voltage-gated channel subfamily B member 1
137	104216	P12276	FAS	Fatty acid synthase
138	11618	Q12923	PNP1 	Tyrosine-protein phosphatase non-receptor type 13
139	11619	P55786	PSA	Puromycin-sensitive aminopeptidase
140	10417	Q99572	P2RX7	P2X purinoceptor 7
141	10140	P06239	LCK	Tyrosine-protein kinase Lck
142	10143	P50391	PPYR1	Neuropeptide Y receptor type 4
143	10142	P32245	MC4R	Melanocortin receptor 4
144	105532	Q37001	ACC5 	1-aminocyclopropane-1-carboxylate synthase 5
145	10144	P13497	PCOLC	Bone morphogenetic protein 1
146	10147	Q16678	CYP1B1	Cytochrome P450 1B1
147	10410	Q99571	P2RX4	P2X purinoceptor 4
148	10149	P47205	envA	UDP-3-O-acyl-N-acetylglucosamine deacetylase
149	10148	P12104	FABPI	Fatty acid-binding protein, intestinal
150	11944	Q9WTR4	Slc6a2	Transporter
151	11942	P00749	PLAU	Urokinase-type plasminogen activator
152	11943	P19174	PLC1	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1
153	11940	P42356	PIK4 	Phosphatidylinositol 4-kinase alpha
154	11941	Q9UBF8	PIK4CB	Phosphatidylinositol 4-kinase beta
155	103053	P04799	Cyp1a-2	Cytochrome P450 1A2
156	10007	P20248	CCN1 	Cyclin-A2
157	10381	P10633	Cyp2d-1 	Cytochrome P450 2D1
158	12999	P36873	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
159	109591	P30355	Flap	Arachidonate 5-lipoxygenase-activating protein
160	109567	P35520	CBS	Cystathionine beta-synthase
161	20154	Q86TI2	DPRP2	Dipeptidyl peptidase 9
162	11013	O60551	NMT2	Glycylpeptide N-tetradecanoyltransferase 2
163	102621	P21589	NT5 	5'-nucleotidase
164	18061	Q15858	NENA	Sodium channel protein type 9 subunit alpha
165	106577	G2YM83	Cytochrome b-c1 complex subunit Rieske, mitochondrial	Cytochrome b-c1 complex subunit Rieske, mitochondrial
166	10168	P28161	GST4	Glutathione S-transferase Mu 2
167	12235	P07727	Glyr	Glycine receptor subunit alpha-1
168	105451	P01116	KRAS2 	GTPase KRas
169	12236	P51639	Hmgcr	3-hydroxy-3-methylglutaryl-coenzyme A reductase
170	104577	O61142	sub-1	Subtilisin-like protease
171	18064	Q5HMD9	None	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
172	12232	P56560	MAOB	Amine oxidase [flavin-containing] B
173	103054	P30613	PK1 	Pyruvate kinase PKLR
174	12239	P19643	Maob	Amine oxidase [flavin-containing] B
175	12238	P07154	Ctsl1	Cathepsin L1
176	105519	Q8MZM0	Carboxylic ester hydrolase	Carboxylic ester hydrolase
177	105542	Q04468	CYP73	Trans-cinnamate 4-monooxygenase
178	10563	P35813	PPPM1A	Protein phosphatase 1A
179	98	P23921	RR1	Ribonucleoside-diphosphate reductase large subunit
180	10561	P46059	PEPT1	Solute carrier family 15 member 1
181	10560	P08104	Scn3a	Sodium channel protein type 3 subunit alpha
182	10567	P05164	MPO	Myeloperoxidase
183	10564	P37289	PTGFR	Prostaglandin F2-alpha receptor
184	91	P21964	COMT	Catechol O-methyltransferase
185	90	P21917	DRD4	D(4) dopamine receptor
186	93	P22303	ACHE	Acetylcholinesterase
187	10160	P11766	ADHX 	Alcohol dehydrogenase class-3
188	95	P22888	LCGR 	Lutropin-choriogonadotropic hormone receptor
189	97	P23284	CYPB	Peptidyl-prolyl cis-trans isomerase B
190	96	P23219	COX1	Prostaglandin G/H synthase 1
191	10093	P01112	HRAS1	GTPase HRas
192	10096	P07807	DFR1	Dihydrofolate reductase
193	10095	P00378	DHFR	Dihydrofolate reductase
194	10094	P22906	DFR1	Dihydrofolate reductase
195	105640	Q01538	KIAA0835 	Myelin transcription factor 1
196	106625	P69560	psbA	Photosystem II protein D1
197	105541	Q43054	CYP73	Trans-cinnamate 4-monooxygenase
198	106623	P55826	HEMG1 	Protoporphyrinogen oxidase 1, chloroplastic
199	106621	P48016	ATH1	Vacuolar acid trehalase
200	102719	P40926	MDH2	Malate dehydrogenase, mitochondrial
201	102718	Q14703	KIAA0091 	Membrane-bound transcription factor site-1 protease
202	13053	P37059	EDH17B2 	Estradiol 17-beta-dehydrogenase 2
203	13056	Q16647	CYP8 	Prostacyclin synthase
204	13054	P09417	DHPR 	Dihydropteridine reductase
205	13055	P15559	DIA4 	NAD(P)H dehydrogenase [quinone] 1
206	109536	Q9NS86	GPR69B 	LanC-like protein 2
